repeat,N,threads,ms_serial,ms_v2,speedup
1,200000,4,2456.76,741.069,3.315
10,200000,4,21995.7,6402.46,3.436
50,200000,4,106551,31493.5,3.383
100,200000,4,211663,63754.8,3.320
200,200000,4,422041,126146,3.346
500,200000,4,1.05482e+06,315050,3.348
