repeat,N,threads,ms_serial,ms_v2,speedup
1,200000,4,151.563,53.6725,2.824
10,200000,4,1188.26,338.326,3.512
50,200000,4,4704.1,1374.6,3.422
100,200000,4,9233.83,2623.34,3.520
200,200000,4,18237.6,5165.44,3.531
500,200000,4,44367.5,13023.1,3.407
