repeat,N,threads,ms_serial,ms_v2,speedup
1,200000,4,110.437,35.9645,3.071
10,200000,4,149.419,45.9438,3.252
50,200000,4,372.12,102.549,3.629
100,200000,4,721.967,197.022,3.664
200,200000,4,1838.91,490.087,3.752
500,200000,4,6686.26,1763.97,3.790
